playerid,birthyear,birthcountry,deathyear,namefirst,namelast,weight,height,bats,throws
almoral01,1994.0,USA,,Albert,Almora,190.0,74.0,R,R
alomalu01,1923.0,Cuba,1997.0,Luis,Aloma,195.0,74.0,R,R
alomaro01,1968.0,P.R.,,Roberto,Alomar,184.0,72.0,B,R
alomasa01,1943.0,P.R.,,Sandy,Alomar,140.0,69.0,B,R
alomasa02,1966.0,P.R.,,Sandy,Alomar,200.0,77.0,R,R
alonsyo01,1987.0,Cuba,,Yonder,Alonso,230.0,73.0,L,R
aloufe01,1935.0,D.R.,,Felipe,Alou,195.0,72.0,R,R
alouje01,1942.0,D.R.,,Jesus,Alou,190.0,74.0,R,R
alouma01,1938.0,D.R.,2011.0,Matty,Alou,160.0,69.0,L,L
aloumo01,1966.0,USA,,Moises,Alou,185.0,75.0,R,R
alperwh01,1879.0,USA,1942.0,Whitey,Alpermann,180.0,70.0,R,R
alstode01,1952.0,USA,,Dell,Alston,180.0,72.0,L,R
alstoga01,1971.0,USA,,Garvin,Alston,185.0,74.0,R,R
alstoto01,1926.0,USA,1993.0,Tom,Alston,210.0,77.0,L,R
alstowa01,1911.0,USA,1984.0,Walter,Alston,195.0,74.0,R,R
altampo01,1952.0,Nicaragua,,Porfi,Altamirano,175.0,72.0,R,R
altavda01,1992.0,USA,,Dan,Altavilla,200.0,71.0,R,R
altener01,1894.0,USA,1981.0,Ernie,Alten,175.0,72.0,R,L
altenje01,1893.0,USA,1973.0,Jesse,Altenburg,158.0,69.0,L,R
altheaa01,1991.0,Germany,,Aaron,Altherr,215.0,77.0,R,R
altizda01,1876.0,USA,1964.0,Dave,Altizer,160.0,70.0,L,R
altmage01,1933.0,USA,,George,Altman,200.0,76.0,L,R
altobjo01,1932.0,USA,,Joe,Altobelli,185.0,72.0,L,L
altroni01,1876.0,USA,1965.0,Nick,Altrock,197.0,70.0,B,L
altuvjo01,1990.0,Venezuela,,Jose,Altuve,165.0,66.0,R,R
alusige01,1935.0,USA,,George,Alusik,175.0,75.0,R,R
alvarab01,1982.0,USA,,Abe,Alvarez,190.0,74.0,L,L
alvarcl01,1968.0,Venezuela,,Clemente,Alvarez,180.0,71.0,R,R
alvarda01,1989.0,D.R.,,Dario,Alvarez,170.0,73.0,L,L
alvarda02,1988.0,Cuba,,Dariel,Alvarez,180.0,74.0,R,R
alvarga01,1974.0,Mexico,,Gabe,Alvarez,185.0,73.0,R,R
alvarhe01,1990.0,Venezuela,,Henderson,Alvarez,205.0,72.0,R,R
alvarjo01,1956.0,USA,,Jose,Alvarez,170.0,70.0,R,R
alvarjo02,1989.0,Venezuela,,Jose,Alvarez,190.0,71.0,L,L
alvarjo03,1995.0,Venezuela,,Jose,Alvarado,240.0,72.0,L,L
alvarju01,1973.0,USA,,Juan,Alvarez,180.0,73.0,L,L
alvarlu01,1949.0,P.R.,2001.0,Luis,Alvarado,162.0,69.0,R,R
alvaror01,1952.0,P.R.,2016.0,Orlando,Alvarez,165.0,72.0,R,R
alvaros01,1933.0,Cuba,2008.0,Ossie,Alvarez,165.0,70.0,R,R
alvarpe01,1987.0,D.R.,,Pedro,Alvarez,250.0,75.0,L,R
alvarrj01,1991.0,USA,,R. J.,Alvarez,225.0,74.0,R,R
alvarro01,1938.0,Cuba,2012.0,Rogelio,Alvarez,183.0,71.0,R,R
alvarta01,1971.0,Mexico,,Tavo,Alvarez,245.0,75.0,R,R
alvarto01,1979.0,Venezuela,,Tony,Alvarez,200.0,73.0,R,R
alvarvi01,1976.0,Mexico,,Victor,Alvarez,150.0,70.0,L,L
alvarwi01,1970.0,Venezuela,,Wilson,Alvarez,175.0,73.0,L,L
alvisma01,1938.0,USA,,Max,Alvis,185.0,71.0,R,R
alvorbi01,1863.0,USA,1927.0,Billy,Alvord,187.0,70.0,R,R
alyeabr01,1940.0,USA,,Brant,Alyea,215.0,75.0,R,R
amalfjo01,1934.0,USA,,Joey,Amalfitano,175.0,71.0,R,R
amarari01,1962.0,USA,,Rich,Amaral,175.0,72.0,R,R
amarial01,1989.0,Venezuela,,Alexi,Amarista,160.0,66.0,L,R
amaroru01,1936.0,Mexico,2017.0,Ruben,Amaro,170.0,71.0,R,R
amaroru02,1965.0,USA,,Ruben,Amaro,170.0,70.0,B,R
amblewa01,1915.0,USA,1998.0,Wayne,Ambler,165.0,68.0,R,R
ambrech01,1979.0,USA,,Chip,Ambres,190.0,73.0,R,R
ambrihe01,1984.0,USA,,Hector,Ambriz,235.0,74.0,L,R
amelued01,1959.0,USA,,Ed,Amelung,180.0,71.0,L,L
amesre01,1882.0,USA,1936.0,Red,Ames,185.0,70.0,B,R
amesst01,1988.0,USA,,Steve,Ames,205.0,73.0,R,R
amezaal01,1978.0,Mexico,,Alfredo,Amezaga,165.0,71.0,B,R
amoledo01,1874.0,USA,1912.0,Doc,Amole,165.0,69.0,R,L
amorosa01,1930.0,Cuba,1992.0,Sandy,Amoros,170.0,67.0,L,L
amorvi01,1932.0,Cuba,,Vicente,Amor,182.0,75.0,R,R
anckewa01,1893.0,USA,1954.0,Walter,Ancker,190.0,73.0,R,R
anderal01,1914.0,USA,1985.0,Alf,Anderson,165.0,71.0,R,R
anderal02,1964.0,USA,,Allan,Anderson,178.0,71.0,L,L
anderan01,1922.0,USA,1982.0,Andy,Anderson,172.0,71.0,R,R
anderbi01,1895.0,USA,1983.0,Bill,Anderson,165.0,73.0,R,L
