fg,3p,ft,reb,ast,stl,blk,tov,total_points,efficiency
31.0,0.0,60.4,1.0,0.3,0.3,0.1,0.4,85.0,13.709677419354838
45.5,21.3,68.4,4.8,4.8,2.5,1.0,4.2,1877.8,50.20855614973262
46.8,35.5,74.7,8.3,3.6,1.1,0.2,2.6,1541.6000000000001,42.82222222222222
48.5,0.0,74.5,7.9,1.9,0.7,2.1,1.7,1168.0,34.45427728613569
53.8,0.0,69.6,8.1,3.8,0.6,0.8,3.1,1256.0,37.2700296735905
47.5,0.0,61.7,4.7,8.2,1.8,0.6,2.2,376.3,13.535971223021583
49.1,0.0,75.7,5.0,1.1,0.7,0.7,1.1,707.2,27.952569169960476
53.1,0.0,64.9,4.9,1.7,0.6,0.6,2.4,1001.7,39.75
45.4,22.2,64.6,4.7,2.4,1.6,0.4,1.6,717.5999999999999,31.61233480176211
39.6,31.9,77.0,2.0,0.7,0.9,0.1,0.3,472.0,23.838383838383837
45.5,20.0,72.8,4.7,1.3,0.6,0.8,1.1,680.0,31.050228310502284
43.0,25.0,74.1,2.0,2.0,1.2,0.3,1.7,677.6,32.42105263157895
43.7,29.8,80.1,2.1,3.6,0.8,0.0,1.5,834.3000000000001,40.11057692307693
39.7,0.0,58.1,4.9,1.1,0.4,0.7,1.7,335.0,17.091836734693878
45.4,27.9,77.7,2.3,4.5,0.9,0.1,1.9,424.0,21.743589743589745
46.7,33.3,67.6,7.1,0.7,0.8,1.1,1.4,562.5,30.080213903743317
40.8,32.9,83.3,1.7,3.0,0.6,0.1,1.6,462.3,25.4010989010989
56.2,0.0,61.4,3.6,0.7,0.5,1.5,0.9,434.59999999999997,24.41573033707865
49.0,22.2,66.3,3.3,1.2,0.3,0.4,0.9,505.6,29.22543352601156
58.1,0.0,72.7,4.2,0.5,0.5,0.5,1.4,448.79999999999995,29.72185430463576
54.5,0.0,58.7,4.3,0.7,0.5,0.6,1.2,500.5,33.36666666666667
45.6,8.3,74.3,3.5,1.3,0.3,0.2,1.0,448.79999999999995,30.32432432432432
47.6,0.0,63.2,3.5,0.5,0.3,0.4,1.1,400.40000000000003,28.0
47.1,0.0,69.3,2.9,0.8,0.6,0.2,0.7,290.40000000000003,20.450704225352116
42.3,25.0,72.9,2.6,1.8,0.6,0.3,0.9,308.2,22.66176470588235
47.6,0.0,68.7,3.4,0.4,0.3,0.3,1.2,351.0,26.0
41.3,35.0,76.9,1.6,1.1,0.7,0.3,0.8,325.0,24.62121212121212
52.7,0.0,63.9,3.5,0.4,0.3,0.1,0.9,260.40000000000003,19.72727272727273
45.0,23.5,70.1,1.7,1.3,0.4,0.1,0.9,352.0,26.87022900763359
54.4,0.0,64.9,2.9,1.0,0.3,0.5,1.0,330.4,25.61240310077519
65.9,0.0,62.6,4.4,0.9,0.7,0.8,1.1,518.0,28.461538461538463
44.1,32.0,79.7,1.7,0.7,0.4,0.1,0.9,359.59999999999997,31.2695652173913
